"","Date Tabulated","Allocated Category","Native Category","Description","Coles","Coles Sale","Woolworths","Woolworths Sale","Unit","Amount","PriceMass","Per1000gPrice_Coles","Per1000gPrice_WW","Per1000gPrice_ColesSale","Per1000gPrice_WWSale"
"1",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies High Protein Low Carb Chocolate Protein Bar (100g)",5.6,5.6,5,3,"g",100,10,56,50,56,30
"2",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies FX Lo Carb Chocolate Fudge Protein Bar (60g)",4.5,2.8,4,4,"g",60,16.6666666666667,75,66.6666666666667,46.6666666666667,66.6666666666667
"3",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies FX Low Carb Mint Chocolate Protein Bar (60g)",4.5,2.8,4,4,"g",60,16.6666666666667,75,66.6666666666667,46.6666666666667,66.6666666666667
"4",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies FX Lo Carb Chocolate Fudge Mini Protein Bar (30g x 4 pack)",9.89,5,9,9,"g",120,8.33333333333333,82.4166666666667,75,41.6666666666667,75
"5",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Celebrity Slim Chocolate Sachet (55g)",3.8,3.8,3.5,2,"g",55,18.1818181818182,69.0909090909091,63.6363636363636,69.0909090909091,36.3636363636364
"6",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Celebrity Slim Rapid Chocolate Powder (840g)",39,39,35.5,21.25,"g",840,1.19047619047619,46.4285714285714,42.2619047619048,46.4285714285714,25.297619047619
"7",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Celebrity Slim Rapid Low Sugar Chocolate (672g)",44,44,35,21,"g",672,1.48809523809524,65.4761904761905,52.0833333333333,65.4761904761905,31.25
"8",2017-09-07,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Nature's Way Instant Chocolate Protein Powder (375g)",23.05,10.47,21,21,"g",375,2.66666666666667,61.4666666666667,56,27.92,56
"9",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Decadence Advantage Bar (60g)",4.95,3.6,4.5,4.5,"g",60,16.6666666666667,82.5,75,60,75
"10",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Advantage Chocolate Mint Bar (60g)",4.95,3.6,4.5,4.5,"g",60,16.6666666666667,82.5,75,60,75
"11",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Advantage Cookies & Cream Bar (30g x 5 pack)",14.3,10.4,13,13,"g",150,6.66666666666667,95.3333333333333,86.6666666666667,69.3333333333333,86.6666666666667
"12",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Chocolate Advantage Shake (330g)",24.2,17.6,22,22,"g",330,3.03030303030303,73.3333333333333,66.6666666666667,53.3333333333333,66.6666666666667
"13",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Advantage Vanilla Shake (310g)",24.2,17.6,22,22,"g",310,3.2258064516129,78.0645161290323,70.9677419354839,56.7741935483871,70.9677419354839
"14",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies FX Lo Carb Chocolate Fudge Mini Protein Bar (30g x 4 pack)",9.89,5,9,6,"g",120,8.33333333333333,82.4166666666667,75,41.6666666666667,50
"15",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Aussie Bodies FX Lo Carb Coffee Protein Drink (250ml)",3.29,2.25,3.7,2.5,"mL",250,4,13.16,14.8,9,10
"16",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Bounce Peanut Blast Protein Balls (49g)",3.62,2.45,3,3,"g",49,20.4081632653061,73.8775510204082,61.2244897959184,50,61.2244897959184
"17",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Bounce Coconut Macadamia Protein Balls (40g)",3.62,2.45,3,3,"g",40,25,90.5,75,61.25,75
"18",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Clif Bar Choc Chip Bar (68g)",3.3,2,2.95,2.95,"g",68,14.7058823529412,48.5294117647059,43.3823529411765,29.4117647058824,43.3823529411765
"19",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Clif Bar White Chocolate & Macadamia Bar (68g)",3.3,2,2.95,2.95,"g",68,14.7058823529412,48.5294117647059,43.3823529411765,29.4117647058824,43.3823529411765
"20",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Clif Bar Crunch Peanut Butter Bar (68g)",3.3,2,2.95,2.95,"g",68,14.7058823529412,48.5294117647059,43.3823529411765,29.4117647058824,43.3823529411765
"21",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Clif Bar Coconut Chocolate Chip (68g)",3.3,2,2.95,2.95,"g",68,14.7058823529412,48.5294117647059,43.3823529411765,29.4117647058824,43.3823529411765
"22",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Slim Secrets Mintabolism Boost Cool Mint Chocolate Bar with Added Green Tea Extract (40g)",3.29,2,3,3,"g",40,25,82.25,75,50,75
"23",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Thinkfood Munch Pistachio Cranberry (140g)",6.27,4.55,5.5,5.5,"g",140,7.14285714285714,44.7857142857143,39.2857142857143,32.5,39.2857142857143
"24",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Thinkfood Munch Pumpkin Seed (140g)",6.27,4.55,5.5,5.5,"g",140,7.14285714285714,44.7857142857143,39.2857142857143,32.5,39.2857142857143
"25",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Thinkfood Munch Roasted Almond (140g)",6.27,4.55,5.5,5.5,"g",140,7.14285714285714,44.7857142857143,39.2857142857143,32.5,39.2857142857143
"26",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Winners Sustained Energy Cadels Mountain Mix Bar (55g)",2.64,1.9,2.5,2.5,"g",55,18.1818181818182,48,45.4545454545455,34.5454545454545,45.4545454545455
"27",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Winners Sustained Energy Apple Berry Crumble Bar (55g)",2.64,1.9,2.5,2.5,"g",55,18.1818181818182,48,45.4545454545455,34.5454545454545,45.4545454545455
"28",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Endulge Chocolate Bar (30g)",3.3,3.3,3,3,"g",30,33.3333333333333,110,100,110,100
"29",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Day Break Hazelnut Snack Bar (37g x 5 pack)",12.87,12.87,11.5,11.5,"g",185,5.40540540540541,69.5675675675676,62.1621621621622,69.5675675675676,62.1621621621622
"30",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Day Break Cappucino Snack Bars (37g x 5 pack)",12.87,12.87,11.5,11.5,"g",185,5.40540540540541,69.5675675675676,62.1621621621622,69.5675675675676,62.1621621621622
"31",2017-09-17,"Diet/ Gym Food","DIETARY, HEALTH & LIFESTYLE","Atkins Day Break Chocolate Chip Bar (37g x 5 pack)",12.87,12.87,11.5,11.5,"g",185,5.40540540540541,69.5675675675676,62.1621621621622,69.5675675675676,62.1621621621622
