"","Date Tabulated","Allocated Category","Native Category","Description","Coles","Coles Sale","Woolworths","Woolworths Sale","Unit","Amount","PriceMass","Per1000gPrice_Coles","Per1000gPrice_WW","Per1000gPrice_ColesSale","Per1000gPrice_WWSale"
"1",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate Dark Chocolate Baking Chips (200g)",4.61,4.61,4.25,2.21,"g",200,5,23.05,21.25,23.05,11.05
"2",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate Milk Chocolate Baking Chips (200g)",4.61,4.61,4.25,2.21,"g",200,5,23.05,21.25,23.05,11.05
"3",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate Milk Chocolate Melting Buttons (225g)",4.61,4.61,4.25,2.21,"g",225,4.44444444444444,20.4888888888889,18.8888888888889,20.4888888888889,9.82222222222222
"4",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate White Chocolate Melting Buttons (225g)",4.61,4.61,4.25,2.21,"g",225,4.44444444444444,20.4888888888889,18.8888888888889,20.4888888888889,9.82222222222222
"5",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate Dark Chocolate Melting Buttons (225g)",4.61,4.61,4.25,2.21,"g",225,4.44444444444444,20.4888888888889,18.8888888888889,20.4888888888889,9.82222222222222
"6",2017-09-07,"Sugary Snack","BAKING","Cadbury Real Chocolate White Chocolate Baking Chips (200g)",4.61,4.61,4.25,2.21,"g",200,5,23.05,21.25,23.05,11.05
"7",2017-09-07,"Sugary Snack","DAIRY & EGGS","Devondale Milk Moo UHT Chocolate (200ml x 6 pack)",4.7,3.2,4.25,4.25,"mL",1200,0.833333333333333,3.91666666666667,3.54166666666667,2.66666666666667,3.54166666666667
"8",2017-09-07,"Sugary Snack","DAIRY & EGGS","Oak Classic Chocolate Flavoured Milk (2L)",5.25,3.8,5.25,5.25,"mL",2000,0.5,2.625,2.625,1.9,2.625
"9",2017-09-07,"Sugary Snack","DAIRY & EGGS","Pauls Double Thick Chocolate Custard (900g)",5.28,3,4.9,4.9,"g",900,1.11111111111111,5.86666666666667,5.44444444444444,3.33333333333333,5.44444444444444
"10",2017-09-07,"Sugary Snack","DAIRY & EGGS","Vitasoy Chocolate Soy Milky (1L)",1.9,2.75,2.8,2.06,"mL",1000,1,1.9,2.8,2.75,2.06
"11",2017-09-07,"Sugary Snack","DRINKS","Cadbury Drinking Chocolate (400g)",5.16,3,4,4,"g",400,2.5,12.9,10,7.5,10
"12",2017-09-07,"Sugary Snack","DRINKS","Jarrah Choc O'Lait Drinking Chocolate (285g)",8.14,5.9,7.4,7.4,"g",285,3.50877192982456,28.5614035087719,25.9649122807018,20.7017543859649,25.9649122807018
"13",2017-09-07,"Sugary Snack","DRINKS","Jarrah Extreme Drinking Chocolate (13g x 10 pack)",5.83,5.83,5.3,3.5,"g",130,7.69230769230769,44.8461538461538,40.7692307692308,44.8461538461538,26.9230769230769
"14",2017-09-07,"Sugary Snack","DRINKS","Jarrah Salted Caramel Drinking Chocolate (275g)",8.14,5.9,7.4,7.4,"g",275,3.63636363636364,29.6,26.9090909090909,21.4545454545455,26.9090909090909
"15",2017-09-07,"Sugary Snack","FROZEN FOOD","Bulla Creamy Classics Chocolate Chip Ice Cream (2L)",8.8,3.99,8,8,"mL",2000,0.5,4.4,4,1.995,4
"16",2017-09-07,"Sugary Snack","FROZEN FOOD","Connoisseur Belgian Chocolate & Hazelnut Ice Cream (114ml x 4 pack)",8.8,8.8,8.4,8.4,"mL",456,2.19298245614035,19.2982456140351,18.4210526315789,19.2982456140351,18.4210526315789
"17",2017-09-07,"Sugary Snack","FROZEN FOOD","Mars Maltesers Double Chocolate Ice Cream (90ml x 4 pack)",8,6,8,8,"mL",360,2.77777777777778,22.2222222222222,22.2222222222222,16.6666666666667,22.2222222222222
"18",2017-09-07,"Sugary Snack","FROZEN FOOD","Peters Drumstick Super Chocolate (475ml / 4 pack)",8.79,8.79,8,5,"mL",475,2.10526315789474,18.5052631578947,16.8421052631579,18.5052631578947,10.5263157894737
"19",2017-09-07,"Sugary Snack","FROZEN FOOD","Peters Drumstick Chocolate Mint (475ml / 4 pack)",8.79,8.79,8,5,"mL",475,2.10526315789474,18.5052631578947,16.8421052631579,18.5052631578947,10.5263157894737
"20",2017-09-07,"Sugary Snack","FROZEN FOOD","Peters Light & Creamy Chocolate Caramel Vanilla (1.8L)",7.59,7.59,6.9,5,"mL",1800,0.555555555555556,4.21666666666667,3.83333333333333,4.21666666666667,2.77777777777778
"21",2017-09-07,"Sugary Snack","FROZEN FOOD","Sara Lee Crunchy Chocolate & Orange Frozen Cheesecake (495g)",7.69,5,7,5,"g",495,2.02020202020202,15.5353535353535,14.1414141414141,10.1010101010101,10.1010101010101
"22",2017-09-07,"Sugary Snack","FROZEN FOOD","Skinny Cow Skinny Cow Chocolate Vanilla & Caramel Cups (170ml x 4 pack)",8.42,8.42,8,4,"mL",680,1.47058823529412,12.3823529411765,11.7647058823529,12.3823529411765,5.88235294117647
"23",2017-09-07,"Sugary Snack","FROZEN FOOD","Streets Magnum Chocolate Cookie Crumble (97ml x 4 pack)",8.79,4,8,8,"mL",388,2.57731958762887,22.6546391752577,20.6185567010309,10.3092783505155,20.6185567010309
"24",2017-09-07,"Sugary Snack","FROZEN FOOD","Streets Paddle Pop Chocolate (68ml x 10 pack)",7.69,5,7,7,"mL",680,1.47058823529412,11.3088235294118,10.2941176470588,7.35294117647059,10.2941176470588
"25",2017-09-07,"Sugary Snack","PANTRY","Cottee's Ice Magic Chocolate Topping (220g)",4.35,3.35,3.95,3.95,"g",220,4.54545454545455,19.7727272727273,17.9545454545455,15.2272727272727,17.9545454545455
"26",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tim Tams Double Coat Chocolate (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"27",2017-09-07,"Sugary Snack","PANTRY","Allen's Creamy Chocolate (170g)",3.3,2,3,1.5,"g",170,5.88235294117647,19.4117647058824,17.6470588235294,11.7647058823529,8.82352941176471
"28",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tim Tams Original Chocolate (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"29",2017-09-07,"Sugary Snack","PANTRY","Arnott's Chocolate Coated Scotch Finger Biscuits (250g)",4.02,4.02,3.65,2.5,"g",250,4,16.08,14.6,16.08,10
"30",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tim Tams Double Coat Chocolate (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"31",2017-09-07,"Sugary Snack","PANTRY","Arnott's Mint Slice Chocolate Biscuits (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"32",2017-09-07,"Sugary Snack","PANTRY","Arnott's Caramel Crowns Chocolate Biscuits (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"33",2017-09-07,"Sugary Snack","PANTRY","Arnott's Chocolate Malt Sticks TeeVee Snacks (175g)",4.02,4.02,3.65,2.5,"g",175,5.71428571428571,22.9714285714286,20.8571428571429,22.9714285714286,14.2857142857143
"34",2017-09-07,"Sugary Snack","PANTRY","Arnott's Chocolate Coated Teddy Bear Biscuits (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"35",2017-09-07,"Sugary Snack","PANTRY","Arnott's Mini Chocolate Wagon Wheels (190g)",4.02,1.82,3.72,3.72,"g",190,5.26315789473684,21.1578947368421,19.5789473684211,9.57894736842105,19.5789473684211
"36",2017-09-07,"Sugary Snack","PANTRY","Arnott's Gaiety Chocolate Biscuits (160g)",4.02,4.02,3.65,2.5,"g",160,6.25,25.125,22.8125,25.125,15.625
"37",2017-09-07,"Sugary Snack","PANTRY","Arnott's Original Chocolate TeeVee Snacks (175g)",4.02,4.02,3.65,2.5,"g",175,5.71428571428571,22.9714285714286,20.8571428571429,22.9714285714286,14.2857142857143
"38",2017-09-07,"Sugary Snack","PANTRY","Arnott's Milk Chocolate Royals (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"39",2017-09-07,"Sugary Snack","PANTRY","Arnott's Half Coated Chocolate Tiny Teddy Biscuits (200g)",3.3,3.3,3,2,"g",200,5,16.5,15,16.5,10
"40",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tim Tams Classic Dark Chocolate (200g)",4.02,4.02,3.65,2.5,"g",200,5,20.1,18.25,20.1,12.5
"41",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tim Tams White Chocolate (165g)",4.02,4.02,3.65,2.5,"g",165,6.06060606060606,24.3636363636364,22.1212121212121,24.3636363636364,15.1515151515152
"42",2017-09-07,"Sugary Snack","PANTRY","Arnott's Chocolate Ripple Biscuits (250g)",3.14,3.14,2.85,2,"g",250,4,12.56,11.4,12.56,8
"43",2017-09-07,"Sugary Snack","PANTRY","Arnott's Tiny Teddy Chocolate Biscuits (200g)",3,2,4.4,4.4,"g",200,5,15,22,10,22
"44",2017-09-07,"Sugary Snack","PANTRY","Be Natural Granola Seed Bars: Chocolate Chip (40g x 4 pack)",4.4,3,3.99,3.2,"g",160,6.25,27.5,24.9375,18.75,20
"45",2017-09-07,"Sugary Snack","PANTRY","Cadbury Breakaway Milk Chocolate Biscuit (180g)",4.4,4.4,4,3,"g",180,5.55555555555556,24.4444444444444,22.2222222222222,24.4444444444444,16.6666666666667
"46",2017-09-07,"Sugary Snack","PANTRY","Cadbury Breakaway Hazelnut Chocolate Biscuit (180g)",4.4,4.4,4,3,"g",180,5.55555555555556,24.4444444444444,22.2222222222222,24.4444444444444,16.6666666666667
